Wavelength,uW/cm2/nm
380,2.74E-05
381,0.000214318
382,0.000205952
383,0.000115711
384,0.000137582
385,3.37E-05
386,4.95E-05
387,7.29E-05
388,0.000121727
389,0.000134765
390,4.39E-05
391,1.26E-05
392,4.03E-05
393,4.31E-05
394,3.00E-05
395,2.98E-05
396,2.25E-05
397,3.59E-05
398,5.45E-05
399,6.58E-05
400,8.29E-05
401,0.000106804
402,0.000116179
403,0.000129308
404,0.000160091
405,0.000236318
406,0.000301617
407,0.000319692
408,0.000375485
409,0.000506178
410,0.000605057
411,0.000622066
412,0.000775286
413,0.001006165
414,0.001189981
415,0.001392309
416,0.001704452
417,0.002018805
418,0.002404136
419,0.002852321
420,0.003291883
421,0.003926684
422,0.004560526
423,0.005187873
424,0.006067682
425,0.006781373
426,0.007423988
427,0.00804102
428,0.008431579
429,0.00857944
430,0.008578313
431,0.008374802
432,0.008001481
433,0.007519564
434,0.007106697
435,0.00678128
436,0.006581882
437,0.006416242
438,0.006429436
439,0.006592474
440,0.006711953
441,0.007066669
442,0.007432123
443,0.00774867
444,0.0081723
445,0.008664934
446,0.009093746
447,0.009385583
448,0.009530972
449,0.009590005
450,0.009720329
451,0.009463733
452,0.008982198
453,0.008611773
454,0.008290887
455,0.007997779
456,0.00772579
457,0.007514211
458,0.007458896
459,0.007456959
460,0.007461905
461,0.007424102
462,0.007490254
463,0.007657769
464,0.007823895
465,0.007965319
466,0.007913498
467,0.007806477
468,0.007782332
469,0.007686718
470,0.007556356
471,0.007420732
472,0.00722973
473,0.007130601
474,0.007007245
475,0.006823935
476,0.006657691
477,0.006463789
478,0.006298004
479,0.006160598
480,0.00606829
481,0.006002151
482,0.005880528
483,0.005843756
484,0.00584842
485,0.005804993
486,0.005817456
487,0.005874587
488,0.005978151
489,0.00615233
490,0.006313811
491,0.006541784
492,0.006832083
493,0.007082512
494,0.007324291
495,0.007626065
496,0.007971213
497,0.008285394
498,0.008586589
499,0.008871303
500,0.009205686
501,0.009573564
502,0.009901902
503,0.010223766
504,0.010520603
505,0.010776858
506,0.011018995
507,0.01123824
508,0.011496388
509,0.011652983
510,0.01183421
511,0.011998185
512,0.012026109
513,0.012066119
514,0.012144201
515,0.012181713
516,0.012284306
517,0.012168536
518,0.011947825
519,0.011832937
520,0.011634975
521,0.011458534
522,0.011293108
523,0.011027523
524,0.010824301
525,0.010633422
526,0.010402741
527,0.010179644
528,0.009962308
529,0.00973803
530,0.009515308
531,0.00932952
532,0.009129609
533,0.008940036
534,0.008786969
535,0.008647093
536,0.008497067
537,0.008383002
538,0.008271857
539,0.008148519
540,0.008060163
541,0.00797822
542,0.007935287
543,0.007871967
544,0.007837387
545,0.007840598
546,0.007877612
547,0.00787112
548,0.007868884
549,0.007924714
550,0.007990736
551,0.008057443
552,0.008160323
553,0.008300065
554,0.00840823
555,0.008525469
556,0.00869422
557,0.008826931
558,0.0090035
559,0.009178252
560,0.009336063
561,0.009515908
562,0.00969626
563,0.009861722
564,0.010043514
565,0.010215997
566,0.010368295
567,0.010534771
568,0.010748062
569,0.010987759
570,0.011039421
571,0.011128436
572,0.011240822
573,0.01139706
574,0.011498891
575,0.011585223
576,0.011682988
577,0.011846097
578,0.011946633
579,0.012022101
580,0.01212068
581,0.012144424
582,0.012159826
583,0.012170873
584,0.012245167
585,0.012307932
586,0.01231874
587,0.012518925
588,0.012557446
589,0.012343256
590,0.012341344
591,0.012320223
592,0.012315114
593,0.012343182
594,0.012390961
595,0.012293375
596,0.012233383
597,0.012287095
598,0.012291023
599,0.012160654
600,0.012139915
601,0.012129743
602,0.012055239
603,0.012026639
604,0.012030778
605,0.012007214
606,0.012020439
607,0.012013053
608,0.011947866
609,0.0119228
610,0.011884881
611,0.011858236
612,0.011899542
613,0.011864802
614,0.011924919
615,0.011974483
616,0.012025152
617,0.012122335
618,0.012205735
619,0.012352629
620,0.012566492
621,0.012781158
622,0.013041408
623,0.013314226
624,0.013667534
625,0.014051546
626,0.014446036
627,0.014861691
628,0.015401823
629,0.016029866
630,0.016663859
631,0.017409364
632,0.01820008
633,0.018873777
634,0.019665774
635,0.020436184
636,0.021051735
637,0.021305061
638,0.021295588
639,0.020967447
640,0.020370095
641,0.019514172
642,0.018499785
643,0.017531802
644,0.016750519
645,0.016110561
646,0.015611696
647,0.015334015
648,0.01509695
649,0.015124688
650,0.015210931
651,0.015566095
652,0.015918094
653,0.016226972
654,0.016720579
655,0.017056443
656,0.017508231
657,0.017940559
658,0.01830072
659,0.018403172
660,0.018194308
661,0.017752744
662,0.016914075
663,0.015745493
664,0.014455968
665,0.013053159
666,0.011420592
667,0.009993859
668,0.008790826
669,0.007797367
670,0.007013709
671,0.006297697
672,0.005661279
673,0.005140743
674,0.004785327
675,0.004428673
676,0.004095811
677,0.003758253
678,0.003514407
679,0.003385312
680,0.003280201
681,0.002962332
682,0.002771373
683,0.00263823
684,0.002613179
685,0.002500347
686,0.002359408
687,0.002295577
688,0.00221029
689,0.002149507
690,0.002103517
691,0.002073105
692,0.002013008
693,0.002008627
694,0.001954882
695,0.001889128
696,0.001836787
697,0.001810149
698,0.001746037
699,0.001703362
700,0.001791631
701,0.001759456
702,0.00177624
703,0.001684806
704,0.001635967
705,0.001620334
706,0.001621557
707,0.001628681
708,0.001672012
709,0.00163655
710,0.001611967
711,0.001585419
712,0.001568482
713,0.001559043
714,0.001550813
715,0.001579177
716,0.001556305
717,0.001556418
718,0.002005032
719,0.002029495
720,0.001546948
721,0.001535526
722,0.001529717
723,0.001518567
724,0.001513632
725,0.001495338
726,0.001474391
727,0.001440851
728,0.001435579
729,0.001445476
730,0.001519694
731,0.00151931
732,0.001447071
733,0.001412722
734,0.001394677
735,0.00134961
736,0.001374388
737,0.001325184
738,0.001313528
739,0.00129334
740,0.001282609
741,0.001246327
742,0.001219473
743,0.00118901
744,0.00121103
745,0.001178395
746,0.001157272
747,0.001134879
748,0.001097351
749,0.001146479
750,0.001160254
751,0.001051836
752,0.00101438
753,0.001048205
754,0.001012784
755,0.000952406
756,0.000910804
757,0.000903312
758,0.000902228
759,0.000902005
760,0.000883268
761,0.000949321
762,0.000977615
763,0.000950107
764,0.000813493
765,0.000892286
766,0.000816967
767,0.000750767
768,0.000768875
769,0.000746668
770,0.000712659
771,0.000679205
772,0.000649921
773,0.000637787
774,0.000623622
775,0.000617154
776,0.000712122
777,0.000677614
778,0.000691354
779,0.000864971
780,0.00072839