Wavelength,X,Y,Z
380,0.0,0.0,0.0
381,0.0,0.0,0.0
382,0.0,0.0,0.0
383,0.0,0.0,0.0
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.00295,0.000408,0.0132
391,0.00358,0.000498,0.016
392,0.00433,0.000606,0.0194
393,0.00524,0.000737,0.0234
394,0.00633,0.000893,0.0284
395,0.00764,0.00108,0.0342
396,0.0092,0.0013,0.0413
397,0.011,0.00155,0.0497
398,0.0132,0.00185,0.0596
399,0.0158,0.0022,0.0713
400,0.0188,0.00259,0.0851
401,0.0223,0.00304,0.101
402,0.0263,0.00354,0.12
403,0.0309,0.00411,0.141
404,0.0361,0.00475,0.165
405,0.042,0.00547,0.193
406,0.0487,0.00629,0.224
407,0.0561,0.00719,0.258
408,0.0643,0.00818,0.296
409,0.0732,0.00926,0.338
410,0.0828,0.0104,0.383
411,0.093,0.0116,0.432
412,0.104,0.0129,0.483
413,0.115,0.0142,0.538
414,0.127,0.0156,0.596
415,0.14,0.0171,0.657
416,0.153,0.0187,0.721
417,0.166,0.0204,0.788
418,0.18,0.0221,0.856
419,0.194,0.0239,0.925
420,0.208,0.0258,0.993
421,0.221,0.0276,1.06
422,0.233,0.0295,1.12
423,0.245,0.0313,1.18
424,0.257,0.0333,1.25
425,0.269,0.0353,1.31
426,0.281,0.0374,1.37
427,0.293,0.0397,1.44
428,0.306,0.042,1.5
429,0.317,0.0445,1.57
430,0.328,0.047,1.62
431,0.338,0.0496,1.68
432,0.347,0.0522,1.73
433,0.354,0.0549,1.78
434,0.362,0.0577,1.82
435,0.369,0.0605,1.87
436,0.377,0.0633,1.91
437,0.385,0.0662,1.96
438,0.392,0.0691,2.01
439,0.398,0.0719,2.04
440,0.403,0.0747,2.08
441,0.405,0.0774,2.1
442,0.406,0.08,2.11
443,0.406,0.0827,2.12
444,0.405,0.0854,2.13
445,0.404,0.0882,2.13
446,0.403,0.0912,2.14
447,0.403,0.0943,2.14
448,0.401,0.0975,2.15
449,0.398,0.101,2.14
450,0.393,0.104,2.13
451,0.386,0.107,2.1
452,0.378,0.11,2.07
453,0.368,0.113,2.03
454,0.358,0.116,1.99
455,0.348,0.12,1.95
456,0.338,0.123,1.91
457,0.329,0.127,1.87
458,0.319,0.132,1.84
459,0.31,0.136,1.8
460,0.301,0.141,1.77
461,0.292,0.147,1.74
462,0.283,0.152,1.7
463,0.274,0.158,1.67
464,0.264,0.164,1.63
465,0.253,0.17,1.58
466,0.242,0.176,1.53
467,0.23,0.182,1.48
468,0.217,0.188,1.43
469,0.204,0.194,1.37
470,0.191,0.2,1.31
471,0.178,0.206,1.25
472,0.165,0.212,1.19
473,0.153,0.218,1.13
474,0.14,0.225,1.07
475,0.128,0.231,1.01
476,0.117,0.238,0.954
477,0.106,0.245,0.9
478,0.0951,0.253,0.847
479,0.0852,0.26,0.798
480,0.0759,0.268,0.752
481,0.0673,0.277,0.708
482,0.0593,0.285,0.667
483,0.0518,0.294,0.628
484,0.0449,0.302,0.591
485,0.0384,0.311,0.555
486,0.0324,0.319,0.52
487,0.0269,0.328,0.486
488,0.022,0.337,0.455
489,0.0177,0.346,0.425
490,0.014,0.355,0.398
491,0.0108,0.366,0.373
492,0.00817,0.378,0.35
493,0.00604,0.39,0.329
494,0.00446,0.402,0.309
495,0.00345,0.415,0.291
496,0.00301,0.427,0.273
497,0.00309,0.44,0.256
498,0.00361,0.452,0.239
499,0.00449,0.465,0.223
500,0.00565,0.478,0.208
501,0.00704,0.492,0.193
502,0.00867,0.505,0.179
503,0.0106,0.52,0.165
504,0.0129,0.534,0.152
505,0.0156,0.549,0.139
506,0.0188,0.564,0.128
507,0.0226,0.579,0.116
508,0.0269,0.594,0.106
509,0.032,0.61,0.0968
510,0.0378,0.625,0.0885
511,0.0443,0.64,0.0812
512,0.0515,0.655,0.0746
513,0.0591,0.67,0.0687
514,0.0671,0.686,0.0633
515,0.0754,0.701,0.0582
516,0.0838,0.717,0.0535
517,0.0923,0.733,0.0491
518,0.101,0.749,0.0451
519,0.11,0.764,0.0413
520,0.12,0.779,0.0378
521,0.13,0.792,0.0347
522,0.141,0.805,0.0318
523,0.152,0.816,0.0291
524,0.164,0.827,0.0266
525,0.176,0.838,0.0243
526,0.188,0.847,0.0222
527,0.2,0.857,0.0203
528,0.213,0.866,0.0185
529,0.225,0.875,0.0169
530,0.238,0.883,0.0154
531,0.251,0.891,0.0141
532,0.264,0.899,0.0128
533,0.277,0.907,0.0117
534,0.29,0.915,0.0107
535,0.305,0.923,0.00975
536,0.32,0.932,0.00889
537,0.335,0.941,0.00809
538,0.351,0.95,0.00736
539,0.368,0.959,0.00669
540,0.384,0.967,0.00608
541,0.401,0.973,0.00553
542,0.417,0.979,0.00503
543,0.433,0.983,0.00457
544,0.448,0.987,0.00415
545,0.463,0.989,0.00377
546,0.478,0.99,0.00342
547,0.493,0.99,0.00311
548,0.507,0.99,0.00282
549,0.522,0.99,0.00256
550,0.537,0.991,0.00232
551,0.553,0.992,0.00211
552,0.57,0.994,0.00191
553,0.587,0.997,0.00173
554,0.605,0.999,0.00157
555,0.623,1.0,0.00143
556,0.641,1.0,0.00129
557,0.659,0.999,0.00117
558,0.677,0.998,0.00107
559,0.695,0.996,0.000967
560,0.712,0.994,0.000878
561,0.73,0.993,0.000797
562,0.748,0.991,0.000723
563,0.765,0.989,0.000656
564,0.783,0.987,0.000596
565,0.802,0.985,0.000541
566,0.82,0.982,0.000491
567,0.839,0.978,0.000446
568,0.857,0.974,0.000405
569,0.875,0.969,0.000368
570,0.893,0.964,0.000334
571,0.911,0.958,0.000304
572,0.927,0.952,0.000276
573,0.943,0.945,0.000251
574,0.958,0.937,0.000228
575,0.972,0.929,0.000208
576,0.985,0.919,0.000189
577,0.997,0.908,0.000172
578,1.01,0.898,0.000157
579,1.02,0.887,0.000143
580,1.03,0.878,0.00013
581,1.05,0.869,0.000118
582,1.06,0.861,0.000108
583,1.08,0.853,9.83e-05
584,1.09,0.845,8.97e-05
585,1.11,0.837,8.18e-05
586,1.12,0.828,7.47e-05
587,1.13,0.819,6.82e-05
588,1.14,0.809,6.23e-05
589,1.14,0.798,5.7e-05
590,1.15,0.787,5.21e-05
591,1.15,0.776,4.76e-05
592,1.16,0.764,4.36e-05
593,1.16,0.752,3.99e-05
594,1.16,0.74,3.65e-05
595,1.16,0.727,3.35e-05
596,1.16,0.715,3.07e-05
597,1.16,0.702,2.81e-05
598,1.16,0.689,2.58e-05
599,1.15,0.676,2.37e-05
600,1.15,0.663,2.18e-05
601,1.14,0.65,2e-05
602,1.14,0.637,1.84e-05
603,1.13,0.624,1.69e-05
604,1.12,0.61,1.55e-05
605,1.11,0.597,1.43e-05
606,1.1,0.583,1.32e-05
607,1.09,0.57,1.21e-05
608,1.08,0.556,1.12e-05
609,1.06,0.542,1.03e-05
610,1.05,0.528,9.53e-06
611,1.03,0.514,8.8e-06
612,1.02,0.501,8.13e-06
613,0.998,0.487,7.51e-06
614,0.98,0.474,6.95e-06
615,0.962,0.46,6.43e-06
616,0.942,0.447,0.0
617,0.923,0.433,0.0
618,0.903,0.42,0.0
619,0.883,0.408,0.0
620,0.863,0.395,0.0
621,0.843,0.383,0.0
622,0.823,0.371,0.0
623,0.803,0.359,0.0
624,0.782,0.347,0.0
625,0.76,0.335,0.0
626,0.737,0.323,0.0
627,0.714,0.311,0.0
628,0.69,0.299,0.0
629,0.665,0.287,0.0
630,0.641,0.275,0.0
631,0.618,0.264,0.0
632,0.595,0.253,0.0
633,0.572,0.242,0.0
634,0.55,0.232,0.0
635,0.529,0.222,0.0
636,0.508,0.212,0.0
637,0.488,0.203,0.0
638,0.469,0.194,0.0
639,0.45,0.186,0.0
640,0.432,0.178,0.0
641,0.415,0.17,0.0
642,0.398,0.162,0.0
643,0.382,0.155,0.0
644,0.366,0.148,0.0
645,0.35,0.141,0.0
646,0.333,0.134,0.0
647,0.317,0.127,0.0
648,0.302,0.121,0.0
649,0.286,0.115,0.0
650,0.271,0.108,0.0
651,0.257,0.103,0.0
652,0.243,0.0968,0.0
653,0.23,0.0914,0.0
654,0.218,0.0863,0.0
655,0.206,0.0814,0.0
656,0.194,0.0767,0.0
657,0.183,0.0723,0.0
658,0.173,0.0681,0.0
659,0.163,0.0641,0.0
660,0.154,0.0603,0.0
661,0.145,0.0568,0.0
662,0.136,0.0534,0.0
663,0.128,0.0502,0.0
664,0.121,0.0471,0.0
665,0.114,0.0443,0.0
666,0.107,0.0415,0.0
667,0.1,0.039,0.0
668,0.0941,0.0366,0.0
669,0.0883,0.0343,0.0
670,0.0828,0.0321,0.0
671,0.0776,0.0301,0.0
672,0.0727,0.0282,0.0
673,0.0681,0.0263,0.0
674,0.0637,0.0246,0.0
675,0.0595,0.023,0.0
676,0.0556,0.0215,0.0
677,0.052,0.0201,0.0
678,0.0485,0.0187,0.0
679,0.0453,0.0175,0.0
680,0.0422,0.0163,0.0
681,0.0393,0.0152,0.0
682,0.0367,0.0141,0.0
683,0.0341,0.0132,0.0
684,0.0317,0.0122,0.0
685,0.0295,0.0114,0.0
686,0.0274,0.0105,0.0
687,0.0254,0.00978,0.0
688,0.0235,0.00906,0.0
689,0.0218,0.0084,0.0
690,0.0203,0.0078,0.0
691,0.0188,0.00724,0.0
692,0.0175,0.00673,0.0
693,0.0163,0.00627,0.0
694,0.0152,0.00583,0.0
695,0.0141,0.00543,0.0
696,0.0131,0.00505,0.0
697,0.0122,0.0047,0.0
698,0.0114,0.00437,0.0
699,0.0106,0.00406,0.0
700,0.00982,0.00378,0.0
701,0.00913,0.00351,0.0
702,0.00849,0.00327,0.0
703,0.00789,0.00304,0.0
704,0.00733,0.00282,0.0
705,0.00681,0.00262,0.0
706,0.00632,0.00243,0.0
707,0.00586,0.00225,0.0
708,0.00543,0.00209,0.0
709,0.00504,0.00194,0.0
710,0.00467,0.0018,0.0
711,0.00432,0.00166,0.0
712,0.00401,0.00154,0.0
713,0.00371,0.00143,0.0
714,0.00344,0.00133,0.0
715,0.00319,0.00123,0.0
716,0.00296,0.00114,0.0
717,0.00275,0.00106,0.0
718,0.00256,0.000985,0.0
719,0.00237,0.000915,0.0
720,0.00221,0.00085,0.0
721,0.00205,0.00079,0.0
722,0.0019,0.000733,0.0
723,0.00177,0.000681,0.0
724,0.00164,0.000633,0.0
725,0.00152,0.000588,0.0
726,0.00142,0.000547,0.0
727,0.00132,0.000509,0.0
728,0.00123,0.000473,0.0
729,0.00114,0.00044,0.0
730,0.00106,0.00041,0.0
731,0.000988,0.000382,0.0
732,0.000919,0.000355,0.0
733,0.000855,0.00033,0.0
734,0.000796,0.000308,0.0
735,0.00074,0.000286,0.0
736,0.000688,0.000266,0.0
737,0.00064,0.000247,0.0
738,0.000595,0.00023,0.0
739,0.000554,0.000214,0.0
740,0.000515,0.000199,0.0
741,0.00048,0.000186,0.0
742,0.000448,0.000173,0.0
743,0.000417,0.000162,0.0
744,0.000389,0.000151,0.0
745,0.000363,0.000141,0.0
746,0.000339,0.000131,0.0
747,0.000316,0.000122,0.0
748,0.000294,0.000114,0.0
749,0.000274,0.000106,0.0
750,0.000256,9.93e-05,0.0
751,0.000238,9.27e-05,0.0
752,0.000222,8.65e-05,0.0
753,0.000208,8.07e-05,0.0
754,0.000194,7.54e-05,0.0
755,0.000181,7.04e-05,0.0
756,0.000169,6.58e-05,0.0
757,0.000158,6.15e-05,0.0
758,0.000147,5.75e-05,0.0
759,0.000138,5.37e-05,0.0
760,0.000129,5.02e-05,0.0
761,0.00012,4.69e-05,0.0
762,0.000112,4.38e-05,0.0
763,0.000105,4.1e-05,0.0
764,9.81e-05,3.83e-05,0.0
765,9.17e-05,3.58e-05,0.0
766,8.58e-05,3.35e-05,0.0
767,8.03e-05,3.14e-05,0.0
768,7.51e-05,2.94e-05,0.0
769,7.03e-05,2.75e-05,0.0
770,6.58e-05,2.57e-05,0.0
771,6.15e-05,2.41e-05,0.0
772,5.75e-05,2.25e-05,0.0
773,5.38e-05,2.11e-05,0.0
774,5.03e-05,1.97e-05,0.0
775,4.71e-05,1.85e-05,0.0
776,4.41e-05,1.73e-05,0.0
777,4.13e-05,1.62e-05,0.0
778,3.87e-05,1.52e-05,0.0
779,3.63e-05,1.43e-05,0.0
780,3.41e-05,1.34e-05,0.0
