Wavelength,sc,mel,rh,mc
300,0.004085773,0.000753876,0.000675811,0.000577218
301,0.005899317,0.001041815,0.000904721,0.000804409
302,0.008775797,0.001530413,0.001312028,0.001195069
303,0.012715214,0.002219671,0.001897731,0.001749198
304,0.017717568,0.003109589,0.00266183,0.002466797
305,0.023782858,0.004200166,0.003604325,0.003347865
306,0.030911085,0.005491402,0.004725216,0.004392402
307,0.039102248,0.006983298,0.006024503,0.005600408
308,0.048642326,0.008729358,0.00754906,0.007016213
309,0.061247189,0.011050608,0.009580133,0.008905791
310,0.077202816,0.014000552,0.012164596,0.011313474
311,0.096509206,0.017579191,0.015302447,0.014239259
312,0.11916636,0.021786524,0.018993689,0.017683148
313,0.144619498,0.026521227,0.023150807,0.021563874
314,0.169539948,0.031175347,0.027248727,0.025393843
315,0.193372931,0.03564756,0.031199935,0.029091789
316,0.216118446,0.039937867,0.035004432,0.032657712
317,0.237776493,0.044046266,0.038662218,0.036091611
318,0.258445573,0.047984414,0.042182931,0.039402685
319,0.278716677,0.051822248,0.045624408,0.04264612
320,0.298688305,0.055571423,0.048996288,0.045831112
321,0.318360457,0.05923194,0.052298569,0.048957663
322,0.337733132,0.062803798,0.055531254,0.052025771
323,0.356806706,0.066283924,0.05869248,0.055033812
324,0.375583425,0.069653872,0.061771085,0.057972024
325,0.394063664,0.072910569,0.064765208,0.060838781
326,0.412247422,0.076054014,0.067674848,0.063634084
327,0.430134699,0.079084208,0.070500006,0.066357931
328,0.447749153,0.082003631,0.073242206,0.069010886
329,0.465232726,0.084827168,0.075910594,0.07159632
330,0.482609074,0.087557301,0.078506695,0.074114796
331,0.499878197,0.090194029,0.081030508,0.076566312
332,0.517040096,0.092737352,0.083482034,0.07895087
333,0.534113446,0.095188383,0.085862997,0.081271341
334,0.551210298,0.097553797,0.088183751,0.083544961
335,0.568349326,0.099834708,0.09044602,0.0857746
336,0.585530532,0.102031116,0.092649806,0.08796026
337,0.602753916,0.10414302,0.094795107,0.09010194
338,0.620025245,0.106174187,0.096883563,0.092200315
339,0.637379137,0.108147219,0.09892501,0.094259433
340,0.654821359,0.110065881,0.100921089,0.096279968
341,0.672351912,0.111930174,0.102871798,0.098261921
342,0.689970796,0.113740099,0.104777138,0.100205291
343,0.707675945,0.115497787,0.106639064,0.102112394
344,0.725454964,0.117216043,0.108469301,0.103997121
345,0.743305787,0.118896999,0.110269806,0.105861788
346,0.761228415,0.120540656,0.112040577,0.107706394
347,0.779222846,0.122147013,0.113781614,0.109530941
348,0.797234726,0.123712425,0.115488563,0.111330096
349,0.814937919,0.12521502,0.11713529,0.113071875
350,0.832278069,0.126651151,0.118717441,0.114750946
351,0.849255177,0.128020819,0.120235016,0.116367309
352,0.865869243,0.129324024,0.121688014,0.117920964
353,0.882063062,0.130558965,0.123073581,0.119409259
354,0.897493415,0.131714842,0.12437459,0.120816267
355,0.912103098,0.132789855,0.125588185,0.122139336
356,0.925892111,0.133784003,0.126714368,0.123378466
357,0.938860454,0.134697288,0.127753137,0.124533657
358,0.950947121,0.135531231,0.128703449,0.125603074
359,0.961786077,0.136294967,0.129559039,0.126575714
360,0.971316317,0.136990021,0.130318861,0.127449742
361,0.979537839,0.13761639,0.130982917,0.128225159
362,0.986450645,0.138174077,0.131551206,0.128901965
363,0.992034026,0.138668668,0.132028342,0.129484581
364,0.996163733,0.139133692,0.132442014,0.129999544
365,0.998819058,0.139574738,0.132796834,0.130451276
366,1,0.139991805,0.133092804,0.130839777
367,0.99970656,0.140384893,0.133329924,0.131165047
368,0.997926412,0.140762029,0.133513088,0.131430091
369,0.994585602,0.14117138,0.133671665,0.13165294
370,0.989671804,0.141620972,0.133810551,0.131836599
371,0.983185019,0.142110806,0.133929745,0.131981069
372,0.975125245,0.142640882,0.134029248,0.132086349
373,0.965465182,0.143213448,0.134111119,0.132153074
374,0.954041025,0.143841998,0.134187714,0.132185056
375,0.940825473,0.14452878,0.134261091,0.13218293
376,0.925818525,0.145273794,0.134331252,0.132146696
377,0.909020182,0.146077041,0.134398195,0.132076353
378,0.890440705,0.146942847,0.134462693,0.131974322
379,0.87014166,0.14789717,0.134529369,0.131855116
380,0.848133308,0.148944338,0.134598997,0.131721156
381,0.82441565,0.150084351,0.134671574,0.131572441
382,0.798988686,0.151317208,0.134747103,0.131408971
383,0.771932795,0.152649164,0.134832412,0.131234068
384,0.743730256,0.154117751,0.134968492,0.131067654
385,0.714461449,0.155729221,0.135162172,0.130913051
386,0.684126375,0.157483577,0.135413454,0.130770257
387,0.652725033,0.159380817,0.135722336,0.130639275
388,0.620384457,0.161426472,0.136092115,0.130525466
389,0.58786685,0.16365372,0.136542561,0.130461012
390,0.555299245,0.166068091,0.13707697,0.130451276
391,0.522681643,0.168669585,0.137695342,0.130496259
392,0.490014044,0.171458202,0.138397676,0.130595961
393,0.457419815,0.174437588,0.139188909,0.130751821
394,0.425639159,0.177629609,0.14009865,0.130972481
395,0.394795444,0.181037912,0.141131835,0.131259381
396,0.36488867,0.184662497,0.142288464,0.131612522
397,0.335918836,0.188503362,0.143568537,0.132031902
398,0.307957824,0.192563266,0.14497519,0.132521989
399,0.281436917,0.196858747,0.146527249,0.13310958
400,0.256427995,0.201392562,0.148227849,0.133799141
401,0.232931059,0.20616471,0.150076991,0.134590672
402,0.210946109,0.211175193,0.152074675,0.135484173
403,0.190467328,0.216425364,0.154224175,0.136483732
404,0.171459823,0.221923356,0.156545133,0.137613865
405,0.153917779,0.227670522,0.159040823,0.138878659
406,0.137841195,0.233666862,0.161711245,0.140278116
407,0.12323007,0.239912378,0.1645564,0.141812233
408,0.110037663,0.246409104,0.167580539,0.143484352
409,0.09798351,0.25316926,0.170809177,0.145314509
410,0.087020868,0.260194882,0.174246567,0.147306043
411,0.077149737,0.267485969,0.177892709,0.149458954
412,0.068370117,0.275042522,0.181747603,0.151773243
413,0.060631667,0.282863892,0.185813998,0.154252493
414,0.053632338,0.290946178,0.19010839,0.156918201
415,0.047321789,0.299288732,0.194633528,0.159773952
416,0.041700021,0.307891553,0.199389414,0.162819746
417,0.036767033,0.316754642,0.204376046,0.166055582
418,0.032486213,0.325875553,0.209595203,0.169484328
419,0.028637885,0.335239612,0.215057556,0.173123195
420,0.025185437,0.344844376,0.220764882,0.17697505
421,0.022128868,0.354689842,0.226717181,0.181039893
422,0.01946818,0.364776013,0.232914455,0.185317725
423,0.017180675,0.375100978,0.239356798,0.189810841
424,0.015130183,0.385653285,0.246044792,0.194533018
425,0.013294008,0.396431026,0.252978533,0.199486553
426,0.011672149,0.407434201,0.26015802,0.204671446
427,0.010264607,0.41866281,0.267583254,0.210087696
428,0.009058783,0.430113518,0.275256382,0.21573713
429,0.007979078,0.441766326,0.283190287,0.221630702
430,0.007012894,0.453617898,0.291387117,0.227770237
431,0.00616023,0.465668236,0.29984687,0.234155736
432,0.005421087,0.477917338,0.308569548,0.240787199
433,0.004788869,0.490356961,0.317551182,0.247665228
434,0.004223999,0.502937635,0.326767956,0.254793438
435,0.003719883,0.515651115,0.336215904,0.262172432
436,0.00327652,0.528497401,0.345895024,0.26980221
437,0.002893909,0.541476493,0.355805317,0.277682771
438,0.002568124,0.554576576,0.365941417,0.285808676
439,0.002275596,0.567726759,0.376271128,0.294147278
440,0.002012396,0.580915229,0.386789084,0.302693138
441,0.001778524,0.594141984,0.397495284,0.311446255
442,0.001573981,0.607407024,0.408389729,0.32040663
443,0.001397221,0.620703328,0.419468036,0.32957398
444,0.001238966,0.633988764,0.4307039,0.338946614
445,0.00109767,0.647256308,0.442092939,0.34852425
446,0.000973335,0.660505961,0.453635152,0.358306888
447,0.000865958,0.673737722,0.46533054,0.368294528
448,0.000774111,0.686945231,0.477174727,0.378485067
449,0.000689207,0.700090311,0.489141468,0.388865886
450,0.000609817,0.713166601,0.50122639,0.399434881
451,0.00053594,0.7261741,0.51342949,0.410192053
452,0.000467576,0.739112809,0.525750771,0.421137402
453,0.000405099,0.751971922,0.538184818,0.432265357
454,0.000350752,0.764686605,0.55069915,0.443542499
455,0.000304908,0.777246052,0.563288354,0.454963256
456,0.000267569,0.789650264,0.57595243,0.466527629
457,0.000238732,0.80189924,0.588691378,0.478235618
458,0.000217588,0.813982327,0.601496999,0.490081187
459,0.000199263,0.825835608,0.614320099,0.502028121
460,0.000182945,0.837448427,0.62715248,0.514070383
461,0.000168635,0.848820787,0.639994141,0.526207974
462,0.000156332,0.859952686,0.652845083,0.538440893
463,0.000145657,0.870832691,0.665696837,0.550764749
464,0.000134327,0.881392206,0.678498591,0.563153191
465,0.000121963,0.891619796,0.691241877,0.575601826
466,0.000108565,0.901515461,0.703926696,0.588110654
467,9.41E-05,0.911079202,0.716553046,0.600679676
468,7.93E-05,0.920299804,0.729112358,0.613299719
469,6.81E-05,0.929109985,0.741553205,0.625915749
470,6.10E-05,0.937498529,0.753867017,0.638518592
471,5.81E-05,0.945465437,0.766053793,0.651108248
472,5.94E-05,0.953010709,0.778113533,0.663684718
473,6.39E-05,0.960118288,0.790034046,0.676238163
474,6.47E-05,0.966691838,0.801742178,0.688709545
475,6.10E-05,0.972715303,0.813225738,0.701089027
476,5.26E-05,0.978188682,0.824484725,0.713376607
477,3.95E-05,0.983111976,0.835519139,0.725572286
478,2.29E-05,0.987472115,0.846316091,0.737665771
479,9.40E-06,0.991190684,0.856798242,0.749595303
480,0,0.994254614,0.866952701,0.76135059
481,0,0.996663905,0.87677947,0.772931631
482,0,0.998418557,0.886278547,0.784338426
483,0,0.999522576,0.895449356,0.795568689
484,0,1,0.904288435,0.806608703
485,0,0.999854835,0.912795205,0.817456183
486,0,0.999087082,0.920969667,0.828111127
487,0,0.99769674,0.928811821,0.838573536
488,0,0.995690072,0.936324503,0.84884895
489,0,0.993104655,0.943524731,0.858970602
490,0,0.989946752,0.950415343,0.868944032
491,0,0.986216363,0.956996337,0.878769239
492,0,0.981913487,0.963267714,0.888446225
493,0,0.977026697,0.969208528,0.897953275
494,0,0.971487425,0.974693098,0.907160112
495,0,0.965284241,0.97970048,0.916045023
496,0,0.958417145,0.984230673,0.924608009
497,0,0.950886139,0.988283676,0.932849068
498,0,0.94268891,0.99183816,0.94074979
499,0,0.933811585,0.994766142,0.948199707
500,0,0.924251852,0.997046292,0.955180406
501,0,0.914009712,0.99867861,0.961691889
502,0,0.903085164,0.999663096,0.967734155
503,0,0.891494894,1,0.973300852
504,0,0.879339009,0.999690824,0.978353875
505,0,0.866634194,0.998735819,0.982886872
506,0,0.85338045,0.997134985,0.986899843
507,0,0.839577776,0.994888322,0.990392788
508,0,0.825248996,0.991997635,0.993362194
509,0,0.810531053,0.988473766,0.995786987
510,0,0.79544677,0.984318521,0.997663654
511,0,0.779996148,0.9795319,0.998992194
512,0,0.764179187,0.974113902,0.999772609
513,0,0.748014574,0.968066955,1
514,0,0.731614429,0.961405613,0.999644978
515,0,0.714997442,0.954132302,0.998702646
516,0,0.698163611,0.946247024,0.997173003
517,0,0.681112937,0.937749777,0.99505605
518,0,0.663865556,0.928646726,0.992347746
519,0,0.646542293,0.918974859,0.989023843
520,0,0.629163286,0.90874034,0.9850803
521,0,0.611728534,0.897943168,0.980517119
522,0,0.594238037,0.886583345,0.975334298
523,0,0.576707368,0.874675522,0.969533276
524,0,0.559229957,0.862307607,0.963122682
525,0,0.541821378,0.849494254,0.956103955
526,0,0.524481631,0.836235461,0.948477095
527,0,0.507210714,0.822531229,0.940242101
528,0,0.490024296,0.808395614,0.931408238
529,0,0.473016374,0.793912949,0.922031097
530,0,0.456202616,0.779097289,0.912119941
531,0,0.43958302,0.763948635,0.901674771
532,0,0.423157589,0.748466988,0.890695586
533,0,0.406937369,0.732675006,0.879194626
534,0,0.390988657,0.716708655,0.867245321
535,0,0.375322501,0.700590594,0.854859912
536,0,0.359938902,0.684320824,0.842038396
537,0,0.344837858,0.667899344,0.828780775
538,0,0.330027875,0.651342836,0.815105942
539,0,0.315559976,0.634751384,0.801127261
540,0,0.301442663,0.618141669,0.786863627
541,0,0.287675938,0.60151369,0.772315038
542,0,0.2742598,0.584867448,0.757481496
543,0,0.261196795,0.56821536,0.74237593
544,0,0.248502196,0.551631928,0.727075919
545,0,0.23617855,0.535129568,0.711594395
546,0,0.224225855,0.51870828,0.695931357
547,0,0.212644111,0.502368065,0.680086805
548,0,0.20143539,0.486121364,0.66407509
549,0,0.19061211,0.470042828,0.647982326
550,0,0.18017634,0.454144899,0.631822862
551,0,0.170128081,0.438427578,0.6155967
552,0,0.160467333,0.422890863,0.59930384
553,0,0.151192055,0.407542301,0.582960683
554,0,0.142289999,0.392427165,0.566665642
555,0,0.133759124,0.377553002,0.550435119
556,0,0.12559943,0.362919811,0.534269115
557,0,0.117810918,0.348527592,0.518167629
558,0,0.11039084,0.334386211,0.502142575
559,0,0.10332272,0.320554859,0.486265442
560,0,0.096603812,0.307043402,0.470548143
561,0,0.090234114,0.293851839,0.454990679
562,0,0.084213628,0.28098017,0.439593049
563,0,0.078535025,0.268429239,0.424364337
564,0,0.073154333,0.25620411,0.409359043
565,0,0.068064224,0.244305627,0.39458625
566,0,0.063264697,0.232733789,0.380045957
567,0,0.058755753,0.221488596,0.365738165
568,0,0.054532415,0.210573143,0.351670344
569,0,0.050564824,0.200005985,0.337887311
570,0,0.046848002,0.189790217,0.324396536
571,0,0.043381951,0.179925839,0.311198019
572,0,0.040166669,0.17041285,0.29829176
573,0,0.037191959,0.16124987,0.285679271
574,0,0.03439663,0.152428618,0.273369622
575,0,0.031770484,0.143947714,0.261364327
576,0,0.029313522,0.135807157,0.249663384
577,0,0.027025742,0.128006947,0.238266795
578,0,0.024904387,0.120543263,0.227176488
579,0,0.022932901,0.11339317,0.216404045
580,0,0.021108525,0.106552846,0.205951395
581,0,0.01943126,0.100022291,0.195818539
582,0,0.017901104,0.093801504,0.186005477
583,0,0.016510349,0.087887769,0.176512969
584,0,0.015212735,0.082264774,0.167345581
585,0,0.014000552,0.076929803,0.158504073
586,0,0.012873801,0.071882855,0.149988445
587,0,0.01183248,0.067123931,0.141798697
588,0,0.010873915,0.062646129,0.133932952
589,0,0.009982049,0.058408043,0.126379947
590,0,0.009154207,0.054402774,0.119137803
591,0,0.00839039,0.050630322,0.11220652
592,0,0.007690596,0.047090685,0.1055861
593,0,0.007052744,0.043778429,0.099273191
594,0,0.006464343,0.040660937,0.093247692
595,0,0.005923311,0.037732773,0.087506254
596,0,0.005429647,0.034993938,0.082048877
597,0,0.004983353,0.032444432,0.07687556
598,0,0.004582364,0.030078717,0.071980576
599,0,0.004214293,0.027863568,0.067329554
600,0,0.003877076,0.025793448,0.062916766
601,0,0.003570714,0.023868357,0.058742212
602,0,0.003295206,0.022088295,0.054805892
603,0,0.003047789,0.020446869,0.051103967
604,0,0.00281188,0.018905717,0.047613398
605,0,0.002584717,0.017458447,0.044330345
606,0,0.0023663,0.016105058,0.041254809
607,0,0.002156627,0.014845551,0.03838679
608,0,0.001957115,0.013678769,0.035718112
609,0,0.00177625,0.012597777,0.033199722
610,0,0.001615448,0.01160142,0.030823443
611,0,0.001474709,0.010689697,0.028589277
612,0,0.001354032,0.009862609,0.026497222
613,0,0.001252001,0.009115462,0.02454476
614,0,0.001160118,0.008420098,0.022716771
615,0,0.001076966,0.007771825,0.021010737
616,0,0.001002544,0.007170642,0.019426656
617,0,0.000936853,0.006616549,0.01796453
618,0,0.000878362,0.006107322,0.016619945
619,0,0.00081788,0.00562962,0.015366427
620,0,0.000753876,0.005181217,0.014199564
621,0,0.00068635,0.004762113,0.013119355
622,0,0.000615302,0.00437231,0.012125801
623,0,0.000542722,0.004011821,0.011215571
624,0,0.000480554,0.003680731,0.010368687
625,0,0.000430786,0.003379054,0.009581819
626,0,0.00039342,0.003106791,0.008854967
627,0,0.000368455,0.002863942,0.008188131
628,0,0.000354096,0.002648139,0.007577996
629,0,0.000339573,0.002445182,0.007004671
630,0,0.00032309,0.002252703,0.006464842
631,0,0.000304647,0.002070703,0.005958508
632,0,0.000284245,0.001899182,0.00548567
633,0,0.000262047,0.00173881,0.005046458
634,0,0.000239042,0.001593611,0.004641662
635,0,0.000215393,0.001464257,0.004271413
636,0,0.000191101,0.001350747,0.003935712
637,0,0.000166166,0.001253081,0.003634558
638,0,0.000141395,0.001169602,0.003365859
639,0,0.000121636,0.001090366,0.003117067
640,0,0.000107697,0.001013716,0.00288609
641,0,9.96E-05,0.000939652,0.002672928
642,0,9.73E-05,0.000868173,0.002477582
643,0,0.00010009,0.000799543,0.002298615
644,0,0.000103798,0.000735335,0.002127413
645,0,0.000107697,0.000675811,0.001962541
646,0,0.000111785,0.000620972,0.001803999
647,0,0.000116064,0.000570817,0.001651787
648,0,0.000119639,0.00052543,0.001507375
649,0,0.000117148,0.00048531,0.001379582
650,0,0.000107697,0.000450541,0.00126988
651,0,9.13E-05,0.000421121,0.001178267
652,0,6.79E-05,0.000397051,0.001104744
653,0,3.93E-05,0.000377571,0.001046544
654,0,1.61E-05,0.000358109,0.000987068
655,0,0,0.000337905,0.000923549
656,0,0,0.00031696,0.000855987
657,0,0,0.000295272,0.000784381
658,0,0,0.000272822,0.00071001
659,0,0,0.000249495,0.00064053
660,0,0,0.00022527,0.000577218
661,0,0,0.000200149,0.000520075
662,0,0,0.00017413,0.0004691
663,0,0,0.000148092,0.000424019
664,0,0,0.000127301,0.000383187
665,0,0,0.000112635,0.000346331
666,0,0,0.000104094,0.000313449
667,0,0,0.000101677,0.000284542
668,0,0,0.000104643,0.000259979
669,0,0,0.000108543,0.000241971
670,0,0,0.000112635,0.000230887
671,0,0,0.00011692,0.000226727
672,0,0,0.000121396,0.000229491
673,0,0,0.000125131,0.000237241
674,0,0,0.000122522,0.000238352
675,0,0,0.000112635,0.000230887
676,0,0,9.55E-05,0.000214846
677,0,0,7.10E-05,0.000190229
678,0,0,4.11E-05,0.000159057
679,0,0,1.69E-05,0.000133455
680,0,0,0,0.000115444
681,0,0,0,0.000105024
682,0,0,0,0.000102195
683,0,0,0,0.000106004
684,0,0,0,0.000110738
685,0,0,0,0.000115444
686,0,0,0,0.000120121
687,0,0,0,0.000124769
688,0,0,0,0.000128466
689,0,0,0,0.000125665
690,0,0,0,0.000115444
691,0,0,0,9.78E-05
692,0,0,0,7.27E-05
693,0,0,0,4.21E-05
694,0,0,0,1.73E-05
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,0,0,0,0
760,0,0,0,0
761,0,0,0,0
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,0,0,0,0
778,0,0,0,0
779,0,0,0,0
780,0,0,0,0